City,Attraction,Type,Latitude,Longitude,Indoor/Outdoor
London,Buckingham Palace,Historic,51.5014,-0.1419,Indoor
London,Tower of London,Historic,51.5081,-0.0759,Indoor
London,Big Ben,Landmark,51.5007,-0.1246,Outdoor
London,London Eye,Landmark,51.5033,-0.1196,Outdoor
London,British Museum,Museum,51.5194,-0.1270,Indoor
London,National Gallery,Museum,51.5089,-0.1283,Indoor
London,Tate Modern,Museum,51.5076,-0.0994,Indoor
London,Hyde Park,Park,51.5073,-0.1657,Outdoor
London,Regent's Park,Park,51.5313,-0.1569,Outdoor
London,St. Paul's Cathedral,Historic,51.5138,-0.0984,Indoor
London,Westminster Abbey,Historic,51.4993,-0.1273,Indoor
London,Shakespeare's Globe,Historic,51.5081,-0.0975,Indoor
London,Victoria and Albert Museum,Museum,51.4966,-0.1722,Indoor
London,Science Museum,Museum,51.4978,-0.1745,Indoor
London,Natural History Museum,Museum,51.4967,-0.1764,Indoor
London,Camden Market,Neighborhood,51.5416,-0.1420,Outdoor
London,Covent Garden,Neighborhood,51.5129,-0.1245,Outdoor
London,Piccadilly Circus,Landmark,51.5101,-0.1337,Outdoor
London,Greenwich Park,Park,51.4769,0.0005,Outdoor
London,Kew Gardens,Park,51.4780,-0.2956,Outdoor
London,Leadenhall Market,Neighborhood,51.5146,-0.0801,Indoor
London,Canary Wharf,Neighborhood,51.5054,-0.0235,Outdoor
London,Notting Hill,Neighborhood,51.5096,-0.1965,Outdoor
London,Oxford Street,Neighborhood,51.5154,-0.1410,Indoor
London,Harrods,Shopping,51.4995,-0.1630,Indoor
Paris,Eiffel Tower,Landmark,48.8584,2.2945,Outdoor
Paris,Louvre Museum,Museum,48.8606,2.3376,Indoor
Paris,Notre-Dame Cathedral,Historic,48.8529,2.3500,Indoor
Paris,Sainte-Chapelle,Historic,48.8554,2.3450,Indoor
Paris,Montmartre,Neighborhood,48.8867,2.3431,Outdoor
Paris,Champs-Élysées,Neighborhood,48.8698,2.3073,Outdoor
Paris,Arc de Triomphe,Landmark,48.8738,2.2950,Outdoor
Paris,Palace of Versailles,Historic,48.8049,2.1204,Indoor
Paris,Musée d'Orsay,Museum,48.8600,2.3266,Indoor
Paris,Centre Pompidou,Museum,48.8606,2.3522,Indoor
Paris,Place de la Concorde,Landmark,48.8656,2.3212,Outdoor
Paris,Panthéon,Historic,48.8462,2.3460,Indoor
Paris,Latin Quarter,Neighborhood,48.8500,2.3448,Outdoor
Paris,Jardin du Luxembourg,Park,48.8462,2.3372,Outdoor
Paris,Tuileries Garden,Park,48.8635,2.3271,Outdoor
Paris,Père Lachaise Cemetery,Historic,48.8614,2.3933,Outdoor
Paris,Moulin Rouge,Historic,48.8841,2.3325,Indoor
Paris,Opéra Garnier,Historic,48.8719,2.3316,Indoor
Paris,Saint-Germain-des-Prés,Neighborhood,48.8546,2.3331,Outdoor
Paris,Le Marais,Neighborhood,48.8574,2.3581,Outdoor
Paris,La Défense,Neighborhood,48.8924,2.2370,Outdoor
Paris,Basilique du Sacré-Cœur,Historic,48.8867,2.3431,Indoor
Paris,Musée Rodin,Museum,48.8555,2.3159,Indoor
